config_string,train_loss,train_accuracy,train_error,validation_loss,validation_accuracy,validation_error
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.005&lstm_dropout=1&fully_connected_dropout=1,1.09861,0.42578125,0.57421875,1.09861,0.392578125,0.607421875
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.005&lstm_dropout=1&fully_connected_dropout=1,0.617452,0.78515625,0.21484375,0.861599,0.602213541667,0.397786458333
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.005&lstm_dropout=1&fully_connected_dropout=1,0.682388,0.796875,0.203125,0.802994,0.602864583333,0.397135416667
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.005&lstm_dropout=1&fully_connected_dropout=1,0.507863,0.78515625,0.21484375,0.794823,0.612630208333,0.387369791667
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.005&lstm_dropout=1&fully_connected_dropout=1,0.9503,0.6484375,0.3515625,1.06885,0.499348958333,0.500651041667
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.005&lstm_dropout=1&fully_connected_dropout=1,0.187799,0.83984375,0.16015625,0.996994,0.615885416667,0.384114583333
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.005&lstm_dropout=1&fully_connected_dropout=1,0.291937,0.96484375,0.03515625,0.912587,0.854817708333,0.145182291667
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.005&lstm_dropout=1&fully_connected_dropout=1,0.112281,0.9765625,0.0234375,0.308129,0.897135416667,0.102864583333
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.005&lstm_dropout=1&fully_connected_dropout=1,0.166149,0.97265625,0.02734375,0.367563,0.880859375,0.119140625
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.005&lstm_dropout=0.8871888011373094&fully_connected_dropout=0.503023193210499,0.0485997,0.99609375,0.00390625,1.6637,0.904296875,0.095703125
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.005&lstm_dropout=0.37666766979850697&fully_connected_dropout=0.18501323597388974,1.09861,0.3359375,0.6640625,1.09861,0.302734375,0.697265625
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.005&lstm_dropout=1&fully_connected_dropout=1,0.460421,0.6796875,0.3203125,0.680695,0.565104166667,0.434895833333
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.005&lstm_dropout=1&fully_connected_dropout=1,0.0444855,0.984375,0.015625,0.33377,0.90234375,0.09765625
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.005&lstm_dropout=1&fully_connected_dropout=1,0.775801,0.662109375,0.337890625,0.932686,0.637369791667,0.362630208333
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.005&lstm_dropout=1&fully_connected_dropout=1,0.103758,0.974609375,0.025390625,0.29342,0.897786458333,0.102213541667
